Sentiment,tweet
0,dont try follow fake skype shoot new set friends eh
1,feeling holiday part bill gonna cop
0,back dj whole time
0,yeah now excluded brother category
0,well originally sign language don think saw
0,sad sad news sarah chronicles
0,still don guess not cool
1,whats weird
0,early day chance sleep
1,actually people
1,sitting fire enjoying sound amazing grace moment
1,welcome world responsibility social demands least now can
1,ins good idea wish low rates tell still boy
0,can see mia
1,okay going bed now just thoughts floating head night will night
0,yea dream guy
1,can say day shit love
0,yeah better sure yeah told jon wanted meant mean nasty
0,don feel well don mean physically
0,just want stay
0,way am letting
1,strange just found potato cooking pm yesterday slow last hrs breakfast
0,feel like bad don know fix
0,un not creative just filling orders not fun
1,fix kind
1,life kind lately moment fine sun today
1,now church view
1,am only noticed apparently north lebanon ohio
1,want ll msn guys
0,charlotte sad
0,still wanna
1,house south africa east london
1,fun revision saturday lol not missing lovely time
1,well sure flight states
0,feel working tomorrow wed early
1,dm
1,yes friday nights reason wake early tomorrow
0,mean ur going
1,am cheese work ears little projects love
1,am grateful family who willing help thank
0,night going bed early tonight tired
0,gonna true dont play lol yea just heated
1,glad hear better glad good night ll see tomorrow
1,looking exceptional talented interactive art director woman
1,whats twin
0,town loving being charleston
0,front new people social anxiety disorder
1,welcome home see soon
0,im here now im happy not here not good time im sorry
0,says life like right
0,wishing talk problems put down just listen
0,stupid virus comp sun music
1,home song love gospel watch now
0,followed
0,am eyes minute poor woman touched
0,ve ordered mobile here today not arrived
1,car coming home today
0,love top chef bad win chef
1,awesome gonna rock
0,am well
1,seen montana move times came yesterday good im seeing monday
1,question standard delivery time ship hoping ll club wear show
0,feel bad ve cf day receiving soldier
0,am now going bed early tomorrow back uni classes week left
1,thoughts here going actually
0,can believe just spy won tell told nw ll
0,wish ve study week fr next week seminar ll give call least can
1,yes awesome
0,sorry know needed respond mean little blue friend
0,shirt
1,like point
1,good knight
1,am home last week
1,great will definitely vote guys
1,pizza thanks
1,half
0,im hurt now lol went downtown shock
1,saves day driving hopefully hanging tyler
1,trip tomorrow only reason family allowed stay place
1,palm hand baby going
1,down like yea guys ate hot
0,blocked work ll check home thanks
0,lonely people come mas eu em casa
1,brilliant thanks guess watch day
0,gd wow fast day hopefully smooth
0,not ending soon
1,coffee today dancing
1,yea trip exciting
1,god allowing see light day
1,back home not video game love baby
1,oo mas now ahead keep supporting
1,made la morning waiting line tickets blink
0,pretty sure going day hope pieces water fall high minute xp
1,jones style big pants er worn
0,late not sure mercy
1,watching compilation
0,will work phone
1,artist month may
1,wish called time im big fan
1,whats going call know im here ya
1,just piece lovely cake
0,aw ka na sorry mo ba kay thank ko
0,only glasgow
0,still gonna homeless months live
1,kind donate promo codes appreciated thanks
1,need convert recorded tv show format old takes ages
0,rt hell tickets sold mins
0,ran space jacob edward just
0,now now cast party
1,just joined
0,seriously fed
1,think write act play xx corner house here come
1,coffee cake delicious good
1,thank god elder brother
0,wish work today perfect conditions well tomorrow day
1,tv bedroom watch dvds laptop next bed
0,ll tell not not watching tigers planned
0,warehouse dispatch confirmation tracking number work not today
1,lol good driver just don like sitting like alone ur
1,just delicious lunch billy watch suppose show check
1,approach social fox business dating back feb still useful
0,team lost
0,hours poor dear
1,wow hit list awesome little sad bought well bundle free year
1,going sleep now good night
1,movie similar girls tonight
0,nasty just came sink bathroom not drink water
1,time yes
0,hate being sick
0,come replies coming
0,want away
1,god nice guy love walk only meters thanks being funny
1,thanks well
1,take chance
1,ended chocolate according guy store
0,back son younger miss
1,just left old navy graphic
1,sweet lil face
0,hell can open bottle morning need
0,long time need tech support tv internet laptop died day
0,fire hungry
1,being am access pretty
0,sick love
0,eh talk day
1,voice life like enjoy ends
0,passed away
0,thinks alcohol know crazy random
1,cookies inch nails addiction wednesday
1,dont say im sure
1,nice weather pasta chance episodes nice pasta lol
1,who pressure tell ah fix dem
0,rain sun xx
0,know leaving warren justice
0,leaving columbia hours ll let know next time potentially
0,trained last months came last fat guy old woman redeem june now
0,black day fish died
1,surely surely best exams
1,thanks talking phone yesterday appreciate
0,only person know who fine
0,damn ass naked reply
1,just oops need learn early now think ll lay sun
0,wish easier
0,sound happy happy now
1,years wow family year loved need start going
1,way house
1,im good ta bit tired cos ve good
1,here day birthday comes happy
1,well ll buy dvd july see secret episode episode
0,head going bed sleep
1,hope fun can wait see pics
0,agree try not pretty
0,mean mean mean kill poor baby whole life ahead
0,obviously not meant email close button
0,eating eating feel ing fat
1,finished exams
0,ya not long ago wanna new wait august
0,just going old missed maybe next time
0,enjoy job still facing central
1,hi good night can wait see mr here
1,bored can wait help
1,am need follow people
1,like definitely signing back
0,dog
0,real cheese ve
0,know im sad like actually
1,wow late bike work comment yes fw think great watch
0,know come now gonna rain
0,cool bed
0,not fault stars sorry told friend upset
0,ah man mom not well
0,angry want cry just upset
1,day beach little look like only deep awesome words
0,miss honey like
1,hate worst just
0,links not work correctly
0,last night took long last night now im tired morning
0,thinks weekends fast
1,kick dog back going sick being sick house naughty lol morning
0,gonna leave bc can chat phone don think
0,true saw episode bc watch day bc middle aged
0,burning air conditioning work broken
0,sick hate throwing cause minute im im horrible hope im better
0,just noticed missed study anatomy
1,back unit going watch try not miss
0,tongue
0,dies hours not backup
1,hi nick reply am portugal
1,trying figure
1,game friends
1,can vietnam beautiful friendly fan
1,today good day looking forward
0,man just noticed today
0,productive day hours sleep kills sunshine
1,thats favorite
0,badly wants watch pretty pink want buy lending dvds
1,can wait
1,tomorrow morning pretty time
1,am just bought silly keep first seasons
0,took th day see holiday lol
0,sad won able house hope miss
1,brothers days hell yeah
0,hang today
0,new phone wait back sd fully functional game today
0,mu cho ng
0,just ride steel thought new well still going summer anyway
0,tests direct message here
0,math class starting
1,song brings joy
0,home first day nice enjoying work windows machine day
1,free public transport now nationwide
0,ready taxes
0,yeah sleep tonight
1,yeah back lang ko noon grass
1,liked double girl boys clothes ep
0,sleep feel like shit worried later day
0,missing special
1,watching matches day long love game
0,sorry political members who following not being active atm
0,mother day making feel like going cry throw miss
0,question hell learn algebra sucks gonna lives
0,riding knew
1,good hope enjoy summer
0,can tickets pink
0,supposed running late now traffic
1,evans blue ace song like love
1,fun south street
1,people school australia forget best love
0,epic reading lol keeping blocked
1,amazing birthday far best night
1,hours last night
0,love tickets running time not looking likely
1,lol am atm goods xx
0,hate don see whole conversations anymore
0,am tomorrow cox biological clock not take math level diagnostic now
0,maybe soon year old laptop due retirement
1,sure will people don
1,sleeping eating chocolate trying pack waiting come florida days tomorrow
0,still luck upgrade files don want mod hand
1,laura
0,footage ll pool
0,mouth pain just wanna sleep time take
0,motion apply pressure fun
1,just minute album officially drops
1,driving
1,amazing time daily job
1,going new green day album tonight
1,rolls total buy now abroad rolls only last week maybe sunny sky
0,yea believe
1,totally good way keep left nut warm
1,going model diet um highlight week
0,think like better boy lucky laundry says
1,don feel bit enjoy books
1,way home gonna night market favorite
0,happy feet hurt wish love
0,will down weeks will need catch
1,lunch time going bed soon way
1,still holidays cool
0,ask time good ones taken
1,sense chance meet sir paul richard person
1,hey nt fun
0,slow down soon time leave final tracks
0,crap
0,don feel well can leave don think wants nice
1,finished now sunshine time
0,going download afternoon wait
1,see found
1,new blog post pictures
0,won away
1,great ll keep like
0,man who beat sons may going jail free guilty aus court system
0,hour hand want back final trains crap today
0,see em
0,died sad heaven now
0,am bored talk tonight
0,bored work day sucks
0,dogs now wait military can
0,just shower reason
0,aw sad
0,love heard am taken
1,join world definitely worth follow
1,female servers tell ass looks big pants will worry night long lol
0,am awesome know don worry will back monday
1,jay park faster
1,just trying feel better say love im glad cool now
1,kim fun
0,good bad day
0,just finished forced stranger calls wants watch
0,hope sleep bad staying late especially don work next day like now
0,saying possibly
1,link options delete will pop page
0,thanks ll try
0,revision exam tuesday
1,here john face bob good morning reason head love
1,weather changed water park plans only slightly dry version water park
1,im officially helping moderate fuck yeah josh like dream come true just wanted let
1,name newly named
0,games ass administered coffee morning
1,thanks name not
1,hi thanks not bad xx
1,netherlands card cool lips polish postcard not
1,aw thanks let hope am worried teeth hope good day hb
1,know am right lol gonna week florida st next month holiday lol
0,neck long weekend not good long gonna rough
0,yeah great great deal wish tf mp local
0,whole wheat grain sorry excuse
1,back madrid miss back
0,taxes course
0,school watching sa movie health
0,today will study bio study history study yeah exam study health
0,working need vacation lol weekend mines good sad
0,st day back work weeks hot tough bad just st time skip important appointment
0,wish here say runs concerts friday night just
1,sounds great am looking forward arrival se decide call
0,help don know sms post sorry
0,true ll look
1,bye michelle talk later
1,men origins awesome see enjoy crazy stars
0,actually turned pub team
1,need joint happy need fucking destroy night good night
0,mother day am missing usual give here just day
1,good lol night pulled jake
0,pretty lost voice hope work busy today
1,feeling better yesterday
0,sara last sunday leave texas friday sure here teaching services today
0,down worst batch
1,garden looks great slowly building mine
1,tests nice
1,wow great nice son can way needs vacation
0,heart broken
0,not looking forward yeah
1,back wedding awesome pretty bad dont believe im
0,want lunch campus class brain
0,only stay boss
1,aw kind thanks love right back
1,thanks dark hunter awesome order
1,just gonna spent day shopping
0,virginia hope movie memphis city miss
0,still can hear
0,bug bite not cool bugs
1,random message say hello hello
1,just back brother wedding day relatives visiting great time
1,finally woman words
0,ve busy missed whole season couple episodes
1,yea whats deal
1,ask podcast talking ja tour totally thought
0,tired worked hours today end working days weekends days leave think
0,stick skin
0,heart feels heavy
0,bad good night fucking don wanna sleep alone least text
0,face
1,hello well lol hope good night
1,think going take
1,love ve wanted motorcycle til hurt leg
1,right brazilian am specialist santa monica ca love love love site
1,vast concert night
0,happy im moving like week oregon
0,missed larry king live eh yes pa sa tv
0,love playing guys wanna cry missing
1,northern just radio mean not cd normal radio station
0,last time went paris people who preferred drove
1,not good speech lol
1,lol don worry wrong just way saying want experience god moving
0,days not complete baby
0,can believe people yorkshire voted day counties
0,sorry felt like talking directly look eye
0,still working music grades deck sun big gray cloud
0,way work pm nice day sad
1,interview went well asked interested working full time store hoping call back excited
0,running makes sad
0,well going summer school great
0,sudden signed msn
0,going sleep tired
0,feel not well today haven bed well once like am standing made head swim
0,nancy sad cbs news live
0,tell graphical sh eyes not
0,understand
0,just attempted sake bomb fat fish
0,work figured couple hours well
0,can believe not la
1,hey ready tonight
0,not ok just want hate can anymore
0,miss school look bright side least not
1,well just finished project school am now essay
0,turned car went back thought injured dog am turned bc cars owner
0,damn somerset spaces
0,just finished now unfortunately watch eat tonight not full not hungry
0,nd time months brand new drop oil st blue dress now shirt
0,times wrong picking meat monday can expect receive charge fine day now
1,fantastic amazing once sure can cry liked
0,taking itunes download mb game
1,listening fly brothers assignment work
1,wow great
1,cameras born point shoot body save
1,little happy ha
0,contest just camera today still time
1,massachusetts actually caught internet figured not take
0,look website dear
0,jessica now savannah team not win
1,may running back mind going start drinking warm milk soon
1,totally today reading shows possibly
1,am proud first reply taken updates
1,happy can say going pretty damn good
1,minutes swimming friends fun end
1,good take rest
0,church today tired
0,damn forgot enter weekend
1,date boy see
1,new moon love wolf
0,just saw dog left circle wish work rescue poor
0,not here bloody
1,time take shower head watch salvation second time prep watching earlier today
1,say hello
1,internationally famous artist shown gallery
0,want beach
0,girls think miss tracy only who lol plans day xxx
0,want sleep tired
0,back being alone
0,closest down highway wound star say happy van best
1,like saying like can watch play hours shop
1,drinking morning coffee
1,am plan phone free
0,can nose
0,hate taking pills gay caught cold here
1,love ka enjoy
0,baby cute healthy pic not sure can
1,ve downloaded albums today im happy lol
1,wonderful people life who think can handle only small just hour everyday
0,moving home tomorrow yeah recording sorts planned will road unable
0,starting panic tv guide showing basketball nbc
0,first show santa fucking playing hope kids come see
0,want running
0,mouth bad
1,referring
1,today will good day smile happy
1,just remember today pm
0,crap think im sick
0,ha ha just not fan heat
1,last assignment semester now
1,lol ii can wait love nice
1,great night last night loves
0,im classified now
0,top dont
0,know left went room
1,happy mother day moms work going work movie
1,just finished setting dad new
0,know going see november not feel
1,great good time down tell booth rick ya
0,night can feel coming tomorrow working tomorrow not
1,just added pretty picture myspace pretty
0,working sunny day
0,care am being boring just want back love wanna know wrong
1,hair breakfast time now think
1,exam today auto
0,says think wrist
1,good news enjoy hopefully dry weekend
1,going start reading sec breaking dawn
1,going sleep work
0,ace margaret
1,night sweet dreams
1,yes ya
1,hi can ask question
1,think cover lucky jason
1,beer
1,hey day sports giants taking fall
1,god good time god good
0,well am sad
0,can dj beach sun rain
1,drive can full tank drive ill losing gas
1,yes remember now
1,sleep can definitely crazy hopefully ll little cat today show
0,sucks pain won remove feel better
1,ford tomorrow national fellow
1,need ring style ring silver rose
0,eye feels worse plus variety
1,going rest
0,loves today
0,damn ur teams lost ok princess dont cry lol next year
0,buy like lg simple search phone can sync pc mac
0,feel sick ill ok
0,only cookie pb ate cookie
0,day see feel better valve surprising left dead announcement yesterday don unfortunately
0,went dancing tonight friends fun highly recommend not smart ur sick now whole body
1,wishes
1,promo shoot times looking forward coming
1,seen
0,mine low dont know pa
0,sorry hear sending good karma
1,right forgot yes think will shirts show
1,hungry sick not bad gonna food
1,need company
1,great opening hon gonna speaking french accent week
0,missing friends
1,bath waiting man come home don loves
0,sick tired nice
0,whole block chocolate not
0,baseball tall boy morning habitat humanity
0,bored watching
1,not eat mind drink good
0,checking can find wines here
1,thanks think starting figure now just took bit
1,posted good
1,today clara good luck guys
1,love nick carter love chocolate love pink love sound guitars love came forth planet
1,sun soon ill
1,kennedy worst timing year award just sc yesterday excited
0,think started corporate whore
1,know thats live
0,forgot eat dinner suck literally suck life poor
0,throat nose sick
1,hi wishing blessed evening
0,say happy birthday
1,reform watching closely
1,level best week life
1,cancer free
0,recovery only mine working powerful urge play bass girls film
1,funny day fun work
0,betty sucks honey added
0,miss back date
1,thank thank appreciate alot safe
0,im confused hate being love triangle
1,hey using pc mac
0,last night watching star trek cartoons realize half inch
0,night trying sleep luck now work
0,bed alone need new sleep
0,trying find movie def not working
0,absolutely
1,quick
0,write
1,hey happy birthday
0,don worry just order finish magazine need material layout
0,lonely now
0,just know going jam stay
1,good way
1,tree am
0,ve lol can nose
1,lol only forum members stolen members forums started scratch
1,running studio recently set pc dual boot xp linux fun
0,hey kid acne slow roll think fever great
0,msn still working
1,story heart need close period
0,adam nominated category
0,only friend now fight
0,am ugly lol
1,lol well sunny today tomorrow saying prayers need mental health
1,totally agree love tom lovely
1,julian booth here awesome day today ve dozen people today
0,just not supposed today
1,final destination being saw vi not being last
1,well nice
0,grab can clocks
1,wants summer
1,heading bed soon need save pride energy parade festival tomorrow
1,name album
1,left apartment door good fabulous baby brother willing check place bad guys
1,hope weather stays nice week
0,just back pool now homework job
0,lee won happy fu lost sad seriously
0,confused drink nashville don premium
1,shades
1,like spy master tells who
1,reply october th yes week definitely worth
0,know kind weird like think right arm muscle bigger left
1,perfect hand don think wrote true just stuff
0,minutes study tests pretty hard time
0,today bad day red sox
1,bet will worth
1,thats okay yeah pretty good thanks glad weekend
0,home work head
0,bad wife will not year
1,thanks mate may talk next podcast
0,can wait see turns sunday party going see night museum inside
1,need social network fight back say tagged com
0,olive cvs
1,sunday lazy day
0,tell read emails can beta still
0,lol taste set
0,mins late work
1,real loud ya ll know won able baby comes
0,not good lately blame laptop
1,don actually hate love
0,yeah well hopefully ll only stick kind whole drug scene
1,total blast catherine wedding last night nice people loved photo booth
1,sun listening awesome music better way start day
1,planning tomorrow special breakfast cook mom happy
1,going canada embassy rest mystery
0,exams
0,lost important keys
1,come can only follow friday video minutes liked
0,close now changed alot like sec
0,think gonna sick
0,feels slightly ill guess mc ds
1,wow ur account
1,think awesome trying down miami thanks
0,party hard find heard gay
1,not ing caring hands practical way thanks
1,oasis front
0,hate life now come back
0,hour phone conversation im gonna miss
0,waiting car bored
1,km soon ll finally run
1,feel like eating ice cream long time ago eat best ice cream world
1,pleasure look forward love work
1,best friends music feel better
1,ll come see ya ll not playing can party
1,now back bad hard sit long periods don know well ride now think
1,great time flags new england
1,instant back came yesterday silly fun shame idea am
1,hate speak french can english better
0,want ice cream im
0,preparing week ahead weekend
1,sat forced try whole first time hello world
1,watching family guy love show
0,day danny day
1,ass meal
1,pool party house win series today
1,late better
1,hey mary
0,can sleep not sleeping bed looks comfortable jumping right now
1,thank dear
1,day yesterday
0,ipod died am gonna hour half
1,right bed calling
1,latest vote am going bed sleep tight hopefully will sweet dreams xx
0,bit lunch now lil forming can enjoy cup tea now
0,sorry hopefully light visible end tunnel
1,yea see destroyed walls dying shots
1,gives gives hello
0,just sick hungry
1,day ur cakes love well eat
1,shut pix bed time
0,not feeling good today
1,sunshine
1,folks makes happy can afford
1,yeah last time saw september santa anna closer
1,join scott community love
0,next know gonna
1,hi mia not
0,hot eh coming way bring will
0,work tonight hope don work tomorrow can birthday dinner party year
1,magnificent singing thank asking
0,don love
1,party people attended
1,heard song lol im not
1,good gig good good weekend back work
1,sorry phone house room now
0,lucky want stupid contract runs feb
1,watching dark angel busy week ahead stay
0,radar showing rain bank moving ne not normal going happen
0,still feel good
0,need shit work
1,welcome cb gd luck studies tomorrow wish best exam lets hope driver
1,totally worth
0,today feeling work think will cancel girls night tonight
0,feel like crap sick
0,lol wanna buy
0,breakfast beach washing cleaning car longer like foot little graduates hs tonight
0,miss twin sister
1,wanna come wednesday gonna home yeah
1,can wait til next gig agreement today means october ll share new place
0,towers school friday need leave am
1,ready labor think id play music
1,bored bored head bored jumping ipod
0,just started account figure help im confused
1,nice try worth read old article invisible sky fish
0,not like am not surprised
0,damn work right now needed says crap
0,wondering
0,second day row ii breakfast nd dont want
1,only hours sleep worth going back bed notice
0,ve idea husband work knew time can believe far fallen
0,preparing thoughts moving son
1,goes guys say coming back canberra
1,great day tomorrow will amazing
1,hey tom hope great flight can wait see chile
0,here love summer come fast miss sorry sick
1,found good news
1,sources true
1,happy mother day germany question sunday beautiful day
0,thanks ff busy day zen garden
0,legs
1,life gives
1,nice ride man waiting gps track now plan ride nice week
0,watched analyze disappointed will good
0,yeah makes treating stuff little difficult hate being
0,live life like
1,took eating home cooked now am hour well work course
1,just ended lo good
0,watching id xbox want work
1,wishing merry
0,down
0,updates take longer computer slow right now don think happy
0,want kitty puppy parents won let cause say won clean
1,richard
1,think give time
0,gonna miss
1,posted
0,day clean house guess
0,disappointed right now
0,ah bad times hate exams feel time well sucks
1,well following yr welcome follow back wish
1,glad like
0,today finally day
0,hey ebony wrong hope works soon
0,just want answer
1,cool new product called try
0,now sad going cry sleep
1,now here let sun shine drink flow
1,left bahamas can laughing right now
1,new store
0,electricity mac book dead
0,may er throat big right side bad keep ur prayers
1,housing conference
1,just watched first episode awesome can wait see
0,just set rat last only caught gray fur
0,not want books pin ass single letter
1,success don feel like crap like crap thanks hoping soon
1,college way hot work lol hopefully brought today bring sun lol days
1,heading search sonic dr who year old assistant hope lovely day
1,good luck interview know life england
1,hey know love newsletter
0,just feel bad gay
1,opera
1,productive day made batch soup work nice lunch nice now gym classes gig
0,still joy pic wife now
0,watching live just
0,impossible hold days miss
1,watching talent liked mini oliver
1,hey wanna join
1,think awesome
0,hi advice wisdom teeth mine coming infected painful
0,thanks reply just discovered order books came only bought
0,week college starts
0,first work only
0,here not good covering outdoor event day skirt hello county veterinary hospital
1,thanks help michelle problems portion ice cream
0,overcome
0,take care hope head remains
1,um staying place cape right now house bird thought
0,rain just killed mi download
0,stupid female biology feeling sick played soccer dog little pain
0,message horrible
0,talking past personal stuff just opinion seen change dont like
0,going away part first person met here first person leave
0,day nyc
0,am still feeling today not fair
0,last week school ll miss friends
1,union today beautiful day toronto listening la
0,broke
1,worked hard today friday thats ll time monday looking going show good playing
0,put budget can mall just paid today
0,feel like crap hate being sick
1,cn
0,rough start today ill store opening may delayed
1,believe double better right don want anger
0,idea clean windows doors little individual am making mess
0,highly story robert reuters al being banned iran happening now read
1,hope upload signal will better ha yeah
0,thought saw katie heart attack
1,th birthday thanks art stuff like try photography
1,best health made follow friday sick will represented next ff
1,thanks coming fun remember doubt
1,ve loved yeah know only wait november
0,not fair totally wanted ur concert today still far away
0,thank cups am now wearing half
0,day baby
1,miss minutes using degree lol
0,calls texts ur email
1,dad went gym preparing cup cold
0,stuck lovely day
1,found ve email pieces day ll soon
1,not seeing potential free traffic need check pulse
1,series office ending revision watched series productive day say
1,coming san heard want matter takes
1,god night lol
1,grass photo thats yesterday
0,don want school tomorrow day enjoy phone way
1,may lord answer prayers found morning god bless
1,see sure rest now church wait late tomorrow
0,drinking alone sucks
1,hate yes great job
0,sweet josh work
0,great now
1,give pool jump right now
1,hub organizing brilliant come change world
0,dont like version interstate love song ve stuff singing key
1,know miss come back
1,happy mothers day amazing moms hope wonderful day loved ones deserve great job
1,missing baby wait come home
1,love good car boot sale loved buying old stamps books ah days enjoy
0,sweet potatoes television forced watch beverly hills cop
1,am huge fan ray can choose just song can glad hear fan great day lance
0,need home
0,experience bad join parade hey
0,clock keep looking computer time
0,only tip
0,way damn early need sleep gonna die
1,cool stuff
0,finally log computer
1,new post com check
0,joe will later am helping sister sorry
1,oo love gossip girl
0,only wants follow wish lol still searching pink june th
1,watching new
1,yeah nice
0,baby
1,just back dogs trust
0,rob dont like rebecca
1,well here best news time brazil look boys
0,know being can suck still fine son
1,feet hurt shopping haven
1,alot mean alot worth
0,yes real gentleman loved true passed away yrs ago now still miss
0,damn damn damn completely forgot attending
1,love am season late party
1,sleep better ipod
0,dude excited see manchester nearly saw forward hall pa
0,yeah today last day city
1,making smile nice day making smile well being nice
0,being stuck home sick
1,needed coffee
1,now time relax nice month
0,not bit just moved boston love coming east coast
1,hey don forget pick books social data revolution live
1,mission dollar sale urban completed hope work know mean
0,water heater
0,actually applying jobs person work yes hot
0,happy fathers day
0,wishing made money want money education
1,dash happens sleep day party night
0,season married real life
0,wish just cut line new
0,head totally killing fuck
0,little sad just finished talking good friend good guys raw end deal going bed
1,hi websites cool love using thank
1,who loves
1,town tomorrow say gonna parade wednesday tell ur shooting
1,sorry sorry haven last night ll finish today later
0,work tom
1,absolutely loved gossip girl last night
0,morning annie ok last see alive wish
1,thanks junior sweet
1,club drunk club boom
1,fine healthy puppy
1,pop music set blanket
1,chris miles dream last night not joe chris miles difference
1,good morning beautiful day
1,excellent point
1,dude just noticed live place la la land hang
0,luck tracking down creator
0,stress work
0,throat hope rest day smooth going
0,family leaving am going lonely next couple months
0,just shit sleep
1,noticed right guess heart travel
1,mind ask who went
0,can heart broken broke
0,find day ll try find special quebec
0,world falling speak
0,know tomorrow ll dog want
1,just little bit legendary sounds like high demo like
1,faced kind right choose kind
0,reading screen fuzzy
1,just heard mention drinking wine paid dream job
1,diversity waiting
1,great meet parents good time france
1,good night good luck test
1,am well feel stayed phone long laughing people paying now going pride day
0,lunch mind working now
1,show ready flight
1,today clay shooting
1,day day ve busy project im finally time music
1,nice know family
1,knock door
1,lol lol im talking
1,math field day relay life old ladies accident rocket moon
0,hope rest looked tired
0,ice im now lol im ill fight
1,power
0,not know contest know ve downloads
0,way feel bad
0,application production need minutes open pages
0,im im not going
0,level
0,leave only just here
0,runs want sugar
0,class
1,ok word today word day vacation need badly
1,good luck hope votes counted
0,hate going sleep knowing work
1,im now just remembered
0,barely today
1,next take family dinner
1,let think today back
1,okay night middle save horse ride cowboy means save horse ride cowboy lol know know im dumb
1,rouge life movie
1,wrote song brazil inspired
0,nice know going am meant seeing take tickets come
1,looks kinda fair bit still gonna stick ff
1,means fun
1,hope nice may small island bt who near
0,morning just feel small day not wear
1,home summer september moving house
1,watching listening ma ipod
0,miss going home earlier hope store still open
0,am following lol sad won see hopefully spring next year
0,kitty update april taken turn worse now fighting multiple infections will not coming home tonight
0,yea dont session
0,not feeling well work
0,liked better mom brother home
0,just want
1,love gossip girl ed amazing
1,mean part fun went sand castle competitions free ice cream
0,im lonely here
1,listening release english
1,like result
0,liz
1,going think tired
0,want today think ll busy
0,love fast company office am chicago
0,seriously time
0,thats problem shadow spider joe dragon winners face plus just sad
0,hear lost smallest
1,lamb enjoy making mouth water thought
1,brothers
1,discovered itunes genius today buying zero sound especially album clear
1,nice put down explosion loving sweet feel good lately
0,drink boys kinda just wanna stay play video games
1,know good plans making toy boy chest handy just need tools
0,head need work now
0,just saw old lady trip fall rain nose bleeding poor woman looked sad
0,good morning happened sending know
1,river sure looks nasty recommend swimming bass lake ca
1,love sam nice
0,sorry candy don see daniel don follow richard here
0,wonder will able close
1,reading earth
0,fat boy
0,high school english teacher made read mean ll ready
0,random person side road white
0,sick dr
0,honey come stay here man least rest
0,am im not
0,thanks thats now tired failed sorry caps changing
0,dl love drive girls unfortunately im tx
1,just making videos better
1,not im just watching tv
1,sunny today am million times better mood
1,triple won not counting predictions accurate
0,thank don baby old school lol
1,day now honey
1,storage area sweet
0,stayed home today still not feeling well school
0,keep mind taken phone justice
1,yes far
1,follow friend walking avon day rocks
0,want new york football giants just
0,hungry mind hot paul taste dubai
0,hot brother hair
0,happens dog socks rocks poor dumb foster
1,running maybe way
1,well good start
0,hate school find way like not will stupid lol
0,tonight not canada excited people see
0,starting tomorrow will continue follow updates
1,event not happened well far
0,th throat
1,lenses potential giants future victory team best
1,making summer playlist give songs rap thank
1,swimming rock today
1,sounds cool nice view lol fun
1,now little bit guns still crap friday nights guess
0,studying security definitions
1,thanks changed hair lol
1,sound defeat red behaviour compromise prisoners
1,gonna ready chat now now
1,ask lol can see work
0,jackson damn miss old michael
0,last day munich went shopping pretty day saw relatives last time leaving berlin train
1,times respond told fuck life
0,back work hate
0,just home bad day today
0,guys come melbourne premier
0,ll date brother
1,new vid check
0,wake time leave work early
1,roger see app work not order art logo let put hold
1,zero dates wanna switch
0,just eggs tomatoes know random
1,working degrees
1,just clear phone love sexy beast just
0,biology went fine damn long thanks holly remember only chemistry left summer
1,excited long holiday weekend
1,think can afford hire yard work mr look
1,ve liked rise who hell travis
1,clouds rolled still nice
0,not matt far laid back im scared being homeless labour
1,um short hope not once talked
1,lol going am easy
0,ha ha ha girl week next pd course
1,know awesome music hear
0,still wait
1,better pants just updating site book here
0,says sad say ng pc weekends may assign
1,im cool im wearing spice girls shirt know
0,bed feel good help
0,hate drinking tea know ready work just kind don want move bed
0,wish celebrate fathers day daddy not here can daddy lol
1,sounds like awesome day girl
1,gave tell bag only noticed home legend
0,tired super ipod
1,time log daughter will using pc next time
1,headed lexington day night
0,being tired work bed tonight hopefully good
0,big interior design product show chicago went last year amazing year am not lucky
1,missed earlier fear don push hard let naturally ll happen time
0,asking join add
1,leave country plan easier think better world
0,not walked middle town looking like
0,snow mounted couple inches overnight pretty hope don lose tree bloom
1,thanks post
1,not going breast milk lol silly lol
1,starting now thanks
1,way early airport back new york
1,will cook meal better can eat
1,lucky love charming
0,treat am here school now am stuck class
1,hello award blog like take peak
1,need rest day sleep dream moment enjoy
0,qt firefox
0,damn check page am minutes late certainly will redeem code will
1,thinking moving sounds nice
1,room craig feature month followed good month
1,reading eclipse need finish
1,knew asked
0,people just like spam
0,sad faces looked like died
1,drove house alone
0,shit heart come lol
1,reminder add mint application
1,forgot can know meant tell mr la
0,thought vegas missing vegas
0,downloading tree hill heroes season heroes don let down
0,last night shanghai states morning ll miss china
1,take
0,sky don away
1,let college early today finished home tennis now like
1,finally friends
0,stuck major traffic battery die
1,good morning let makes today better start
1,london
0,don know guy pretty funny
1,learned not gossip life small towns
1,man hot tigers year jackson
0,don feel like moving wanna stay bed church
0,man think friends went show
1,delhi international airport world class terminal now amazing food court wifi
0,makes sad
1,just saw bra boys liked
1,hi jason ve featured
0,times today know totally advantage ha ha
1,blast im see
0,brian lake played help card tribunal
0,watching video taylor swift concert missed looks amazing next time sure
1,curious case benjamin button
1,lol definitely
1,dont know follow
0,picking starting hurt feelings
1,happy birthday blast dinner back ok
0,hope chocolate bears phone broken need talk see
1,dad just mouth surgery can talk
1,listen music home evening blocked here work thank thought
1,don like can cut
0,still not editing tools enhanced
